事業單位名稱,違反法令條,違反法規內容,處分書文號,處分日期,罰鍰金額
國光汽車客運股份有限公司,勞動基準法第32條第2項;勞動基準法第36條,延長工作時間超過法令規定;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10736998800號,1070823,
洪榮溪即大埔鐵板燒,勞動基準法第23條第2項;勞動基準法第30條第5項;勞動基準法第36條,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日,高市勞條字第10735653000號,1070801,
林佩樺即昀萱美容店,勞動基準法第21條第1項;勞動基準法第22條第2項;勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第43條,未達基本工資;工資未全額直接給付勞工;延長工作時間未依規定加給工資;延長工作時間超過法令規定;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日;請假期間未依規定給付工資,高市勞條字第10736354900號,1070802,
右達汽車股份有限公司,勞動基準法第22條第2項;勞動基準法第30條第6項;勞動基準法第38條;勞動基準法第39條,工資未全額直接給付勞工;未逐日記載勞工出勤情形至分鐘為止;未依規定給予特別休假;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10735812500號,1070823,
立誠物業管理顧問有限公司,勞動基準法第23條第2項;勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第38條;勞動基準法第39條,未依規定置備勞工工資清冊;延長工作時間未依規定加給工資;延長工作時間超過法令規定;未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日;未依規定給予特別休假;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10736079200號,1070801,
財團法人高雄市私立慈聯社會福利基金會,勞動基準法第24條;勞動基準法第30條第6項;勞動基準法第38條;勞動基準法第39條,延長工作時間未依規定加給工資;未逐日記載勞工出勤情形至分鐘為止;未依規定給予特別休假;假日工資未給或於休假日工作未依規定加給工資,高市勞條字第10736612000號,1070827,
高嘒鎂即明娟企業行,勞動基準法第23條第2項;勞動基準法第30條第5項,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,高市勞條字第10736084400號,1070801,
金本金屬工業有限公司,勞動基準法第23條第2項;勞動基準法第30條第5項,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,高市勞條字第10736439000號,1070809,
洪朝和即千喻環保企業行,勞動基準法第23條第2項;勞動基準法第30條第5項,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,高市勞條字第10736724700號,1070820,
詔暘企業有限公司,勞動基準法第23條第2項;勞動基準法第30條第5項,未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表,高市勞條字第10731502400號,1070316,
伯克錸保全股份有限公司,勞動基準法第30條第5項;勞動基準法第32條第2項,未依規定置備勞工出勤紀錄表;延長工作時間超過法令規定,高市勞條字第10736207300號,1070813,
家福股份有限公司,勞動基準法第32條第1項;勞動基準法第49條第1項,延長工作時間不符法定要件;使女工從事夜間工作不符法定要件,高市勞條字第10736523400號,1070830,
合堂水電材料有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,高市勞條字第10735255600號,1070801,
錦順鴻漁業股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,高市勞條字第10735991000號,1070809,
